Name,Gender,Grade,Math,Science,English,Total
Aryan',f,9,67,10,72 marks,149
"""Aarav""",F,Grade 9,66,76,59 marks,201
ROHAN,m,Grade 5,0,44,90,134
ANANYA,m,8,66,72,22,160
"""Diya""",1,Grade 4,70 marks,11 marks,38 marks,119
"""Myra""",F,2,78 marks,76 marks,77,231
"""Aarav""",f,5,90 marks,77 marks,7,174
NAVYA,1,7,29 marks,20,54,103
"""Rohan""",m,10,55 marks,99 marks,26,180
Navya,F,4,72,90,65,227
"""Navya""",female,12,29,24,3,56
"""Saanvi""",female,4,52,32,1,85
Myra,Male,1,2 marks,86,91 marks,179
ADVIKA,0,Grade 8,62 marks,35,7,104
"""Aarav""",f,Grade 2,54,80,53,187
Anika',Female,4,35,18,2,55
Kabir',Male,9,58,21,59,138
DIYA,Male,6,53,15,57,125
Krishna,f,Grade 9,78 marks,100 marks,30,208
ANIKA,0,Grade 12,5,58 marks,11,74
DIYA,0,Grade 1,97 marks,73,43 marks,213
SHAURYA,m,3,44 marks,96,6 marks,146
Arjun',f,Grade 12,76,42 marks,32,150
"""Isha""",1,10,76 marks,5,10 marks,91
REYANSH,f,11,86,32,49,167
"""Ishaan""",m,10,68,74 marks,44,186
Arjun',1,Grade 11,62,6,4,72
Rohan,m,2,96,6,69 marks,171
ARJUN,M,12,69,90,33,192
Shaurya,M,Grade 8,48 marks,72,18,138
Ananya,F,Grade 9,94,38,43,175
Reyansh,0,10,57,20 marks,38,115
Myra,male,3,5,89,87,181
Zara',female,3,42,63 marks,40,145
"""Kabir""",0,4,81 marks,38,69,188
ZARA,Female,5,26,43,94,163
"""Myra""",m,Grade 8,57,44,6,107
Aarav',Female,2,36 marks,59 marks,19,114
AARAV,M,3,75,58,57,190
Ishaan,f,7,92,42,52 marks,186
VIHAAN,Female,10,29 marks,40,80 marks,149
Isha',f,6,71,97 marks,99,267
Kabir,Female,10,25 marks,72,11,108
ZARA,male,1,28 marks,65,45 marks,138
"""Aarav""",female,7,50,43 marks,27 marks,120
ISHAAN,m,11,47 marks,61,42,150
Krishna,F,Grade 10,51 marks,87,84,222
"""Krishna""",M,Grade 8,18,38 marks,6,62
"""Aryan""",M,Grade 1,13 marks,64,66,143
Ishaan,Female,11,11,12,74 marks,97
"""Rohan""",f,4,36 marks,70,74,180
"""Vihaan""",0,1,29,50,79,158
"""Vihaan""",Female,Grade 1,83,90 marks,35,208
Arjun,Male,1,17,12,23 marks,52
Myra,f,Grade 6,77 marks,97 marks,53,227
Diya',f,4,99,5,35,139
Vihaan,m,Grade 3,96 marks,52,100 marks,248
Aditi',0,Grade 6,89 marks,5 marks,22 marks,116
Krishna',1,12,92 marks,58,17,167
ADVIKA,M,Grade 4,26,32,69 marks,127
Shaurya',M,Grade 2,62 marks,45 marks,40 marks,147
ARYAN,F,Grade 3,34,14,32,80
ANANYA,female,4,0,74,7,81
Kabir',1,1,90 marks,32,56,178
Navya',m,6,42,25,50,117
Isha',female,8,0,50 marks,20,70
VIHAAN,f,2,67,2 marks,96 marks,165
"""Arjun""",0,4,27 marks,71,71,169
Zara,Female,10,75,81 marks,83,239
"""Rohan""",Female,Grade 9,95,78,49 marks,222
"""Arjun""",female,Grade 4,40,62,0,102
"""Diya""",m,6,33,26,44,103
Kabir,m,7,61 marks,31,1,93
ARYAN,1,9,40 marks,91 marks,94,225
"""Krishna""",female,1,89,68,12,169
Zara',m,Grade 8,45,95,58 marks,198
"""Saanvi""",0,8,20 marks,48,27,95
Aditi',M,Grade 7,94,47 marks,85 marks,226
Zara,1,2,18 marks,91 marks,60,169
Aryan,F,Grade 3,36,22 marks,61,119
"""Rohan""",Female,11,44,32 marks,45,121
ADVIKA,F,2,78,26 marks,58 marks,162
ARJUN,f,3,90,94,40,224
ADITI,Female,Grade 3,88,70,50 marks,208
VIHAAN,M,11,2 marks,51,35 marks,88
ANIKA,Male,8,77 marks,91 marks,30,198
Anika',female,10,45,40 marks,59,144
"""Rohan""",M,9,83,74,92,249
Myra,f,8,79 marks,35 marks,34 marks,148
"""Ishaan""",Male,5,35,78,70,183
"""Reyansh""",m,Grade 12,28,65,57,150
Arjun',M,11,24 marks,53,53,130
ISHAAN,0,4,7,65,14,86
Navya,female,5,82 marks,14 marks,68,164
ZARA,M,11,35 marks,22,60 marks,117
DIYA,Female,10,34,97,33,164
"""Ishaan""",f,6,86,26 marks,56,168
Reyansh',m,Grade 11,20,14,99,133
Ishaan',F,1,44,80,10 marks,134
Myra',male,Grade 7,63,49 marks,96,208
KRISHNA,male,3,57,72,9 marks,138
Diya,Male,2,1 marks,50,72,123
Aarav,female,10,30,93,49,172
"""Zara""",f,2,88,1,72 marks,161
KABIR,0,4,16 marks,40 marks,46,102
"""Aditi""",1,6,6,7,31,44
"""Reyansh""",f,3,97,99,95,291
Myra',m,Grade 8,18 marks,30 marks,68,116
Shaurya',F,1,83,29,12,124
Kabir,Male,Grade 1,74 marks,63,3 marks,140
Saanvi,1,2,33,71,53,157
"""Navya""",male,7,62 marks,72,96 marks,230
Aditi',F,Grade 2,59,42,1,102
Kabir',Male,Grade 1,33,85 marks,35,153
Kabir,male,Grade 1,87,79 marks,24 marks,190
Kabir,M,9,22,53,84 marks,159
Diya',female,Grade 1,31,77,46,154
"""Anika""",F,6,68,3,21 marks,92
Krishna,female,5,7,98 marks,55,160
"""Rohan""",M,Grade 10,96 marks,29,32 marks,157
Ananya',M,5,81,1,56,138
AARAV,0,12,83 marks,26,95,204
ROHAN,Female,9,10,14,70,94
Aditi,0,8,44,56,14,114
MYRA,f,Grade 8,48 marks,34,10,92
Saanvi,Female,11,52,40,37 marks,129
ROHAN,1,6,94,17,93 marks,204
Myra,M,10,44 marks,0,89,133
VIHAAN,M,Grade 10,89,8,5,102
VIHAAN,female,3,38,41 marks,20 marks,99
ADVIKA,0,9,40,2,65,107
Reyansh',Female,3,0 marks,65,11 marks,76
"""Saanvi""",M,2,62,59,75,196
ADITI,1,3,66 marks,93,44,203
Vihaan,M,8,91 marks,8 marks,97 marks,196
Anika,Female,8,24,20,51 marks,95
"""Aarav""",male,Grade 12,50,23,51 marks,124
"""Ananya""",m,2,2,26,38 marks,66
REYANSH,female,4,50,83 marks,17,150
Ishaan',female,Grade 7,52,4 marks,20,76
ADITI,0,12,0,50,45,95
ARJUN,Male,9,5 marks,40,74,119
Arjun',0,10,98 marks,9,45,152
Isha',F,12,1,74,36 marks,111
Rohan,male,9,27,87 marks,43,157
"""Aarav""",M,1,64,76,55 marks,195
Reyansh',0,5,86,94 marks,79,259
Krishna,0,4,14,94,69,177
Vihaan',F,4,66 marks,40,7,113
"""Ishaan""",female,Grade 3,31 marks,57,47,135
Reyansh',F,Grade 5,2,44 marks,88,134
VIHAAN,F,Grade 2,94 marks,49,3,146
ISHA,Female,1,35,84 marks,36 marks,155
"""Navya""",female,6,25,72 marks,95,192
Advika,female,2,46 marks,87,56,189
Krishna',F,8,55,26,5,86
"""Vihaan""",1,5,80,20 marks,86,186
Shaurya',Male,12,24,5,16 marks,45
"""Aditi""",0,7,72,46,58,176
SHAURYA,male,Grade 10,79,15,66,160
Kabir,F,6,17,13,39 marks,69
Aditi',0,4,14 marks,7,16,37
Aarav',f,7,19 marks,30,54,103
MYRA,F,1,15 marks,47,62 marks,124
"""Aarav""",Female,Grade 12,54,0,11,65
Navya,Male,Grade 6,92,38,21 marks,151
Kabir',male,9,24,59 marks,57 marks,140
"""Kabir""",F,7,88 marks,19,41 marks,148
Advika',1,2,99,21 marks,68,188
Shaurya,Female,12,7 marks,25 marks,30 marks,62
ARJUN,0,11,13 marks,66,59,138
SHAURYA,1,7,2,63,53,118
Ananya,F,4,38,34,89,161
Aarav',0,7,48,87 marks,93,228
Aryan,female,5,88,44 marks,32 marks,164
Aditi',0,9,89 marks,79 marks,66,234
Aarav',M,Grade 4,37 marks,68 marks,49,154
"""Krishna""",0,11,58 marks,44,49,151
Anika',f,5,66 marks,4 marks,88,158
Anika,male,Grade 9,81,44 marks,17 marks,142
Rohan',F,9,87 marks,14 marks,33,134
"""Ananya""",female,Grade 8,4,98 marks,92,194
KABIR,f,4,26,53,33,112
Diya,f,6,40,75 marks,86,201
ISHA,F,Grade 12,70 marks,32,38,140
"""Rohan""",female,4,13 marks,73,47,133
Vihaan',Male,Grade 8,8,15,7 marks,30
ANIKA,female,12,66,23,55 marks,144
Zara,0,2,81,50 marks,27,158
Saanvi',Female,8,27,86,43,156
Arjun,1,3,59,93 marks,80 marks,232
AARAV,0,8,15 marks,22,60 marks,97
SHAURYA,m,Grade 4,58,41 marks,18 marks,117
Anika,male,Grade 2,97 marks,53 marks,40,190
Reyansh',f,4,39 marks,65 marks,44 marks,148
ISHA,f,9,36,60 marks,78 marks,174
"""Reyansh""",male,Grade 2,45,63,24,132
ROHAN,0,8,17 marks,55,42 marks,114
Navya,F,10,37,56 marks,87,180
"""Aditi""",F,5,11 marks,78,40,129
"""Krishna""",Female,4,72,77,25 marks,174
Saanvi',female,2,58,29 marks,55 marks,142
Aryan,1,6,15,18,85,118
ZARA,0,Grade 4,81 marks,95 marks,91,267
"""Myra""",M,6,3,4 marks,98,105
Aarav,M,7,87 marks,90,97,274
Navya,Female,Grade 10,83 marks,12 marks,86,181
"""Isha""",M,5,100,35,1 marks,136
Kabir',M,Grade 6,96,21 marks,20,137
Navya,0,10,29,94,6 marks,129
Anika,0,Grade 8,83 marks,42,30 marks,155
Reyansh',m,Grade 9,68 marks,79,45,192
Rohan,F,9,96,32,59 marks,187
"""Vihaan""",Female,9,27,70,17,114
Ishaan,F,6,80 marks,41,55,176
ARJUN,F,9,63,25,71 marks,159
Kabir',F,2,7 marks,88,63,158
NAVYA,M,Grade 3,38 marks,52,67,157
Saanvi',0,3,39,61,5,105
"""Reyansh""",F,3,30,86 marks,16 marks,132
"""Zara""",Female,7,44 marks,68 marks,80,192
"""Navya""",F,2,76 marks,70,6,152
"""Ananya""",1,3,80,39,3,122
Vihaan',Male,11,96 marks,36,60,192
"""Myra""",F,11,93,79,88 marks,260
Zara,0,7,54 marks,50,81 marks,185
VIHAAN,M,1,63,10,12,85
ROHAN,female,10,66 marks,63 marks,95 marks,224
Aryan',male,9,51,91,30,172
Arjun,1,Grade 8,45,33,61,139
VIHAAN,m,9,0 marks,64 marks,66,130
Navya',F,Grade 1,23 marks,84 marks,42,149
"""Reyansh""",m,2,35,25,72 marks,132
Ananya,Male,9,23,95,73,191
"""Shaurya""",m,Grade 12,67,47,54,168
Zara,M,8,26 marks,55,42 marks,123
Aarav,1,4,44 marks,43 marks,55 marks,142
Rohan',M,4,84,4,65 marks,153
KABIR,male,Grade 11,85,52,30,167
Myra,Male,Grade 5,82,78 marks,74,234
"""Saanvi""",F,3,64,9,84,157
Diya,0,2,84,56,52 marks,192
SAANVI,f,Grade 11,89,17,62 marks,168
"""Ishaan""",F,7,35,96,6 marks,137
ARYAN,1,Grade 9,27 marks,75,56,158
"""Arjun""",Male,Grade 1,47,72,14,133
Navya',0,1,73,95,46,214
SHAURYA,M,5,55 marks,67,49 marks,171
Shaurya,male,2,14,24,70 marks,108
Myra',m,4,88,20,84 marks,192
ANIKA,f,Grade 4,74,90,40 marks,204
Navya',M,3,80,64 marks,85 marks,229
Diya,M,9,22,1,98 marks,121
ISHA,F,Grade 7,74,67,43,184
Advika',1,4,74 marks,13 marks,68,155
ZARA,m,3,73,47,9,129
"""Aditi""",Male,8,61 marks,51 marks,17 marks,129
ANANYA,F,Grade 7,24 marks,79 marks,82,185
Aryan,male,5,94,20 marks,55,169
Ishaan,M,5,99,5,52 marks,156
SAANVI,M,1,59,90,49 marks,198
Rohan,m,11,70,71,39 marks,180
ISHAAN,M,9,26,59 marks,61,146
DIYA,1,11,36,70,85,191
Ishaan,F,Grade 8,64,100,88,252
"""Reyansh""",1,Grade 4,74,3,83,160
Vihaan,male,8,78,54,13,145
Saanvi',male,3,63,39,33,135
ZARA,1,Grade 1,45,67 marks,25,137
Aditi',male,1,26,61 marks,50 marks,137
Aarav,0,9,41 marks,3,78 marks,122
"""Shaurya""",Female,7,58,91,94,243
Aryan,M,Grade 3,14 marks,51,55,120
"""Saanvi""",male,Grade 2,10,71 marks,83 marks,164
Reyansh,M,Grade 2,23,33 marks,55,111
Vihaan,M,2,9,15 marks,53,77
ARYAN,F,1,10,30,8,48
Myra',M,Grade 9,80,18,99,197
Isha,F,12,41,43 marks,4 marks,88
Aarav',Female,5,5 marks,2,91,98
Rohan,Male,9,59,62,26 marks,147
"""Aditi""",1,1,83 marks,74,9,166
Myra,F,Grade 6,6 marks,25,15,46
"""Myra""",M,6,64 marks,95 marks,76,235
"""Aditi""",M,2,74 marks,30 marks,45 marks,149
Advika',female,10,100 marks,38 marks,21,159
Krishna,m,Grade 7,74,22,44,140
ISHAAN,M,Grade 8,17 marks,19,43,79
VIHAAN,m,6,32 marks,68,33,133
Aryan',0,Grade 6,19,86,89,194
Aryan',F,1,89,60 marks,97,246
Rohan',Male,6,40,17,18,75
Advika',M,3,1,95 marks,70,166
DIYA,0,Grade 10,50,5,62,117
Aarav',F,Grade 9,86,14 marks,93,193
Arjun',m,2,51,76,98,225
Rohan,Female,Grade 11,56,12 marks,14,82
Zara,M,2,88,73,20,181
ARYAN,male,Grade 1,76,22,40,138
Vihaan,0,9,29,53 marks,70 marks,152
"""Rohan""",M,9,60,51,79 marks,190
Vihaan',1,Grade 2,72,89,26 marks,187
"""Myra""",male,7,65 marks,56,82,203
Rohan',F,2,30 marks,44,69 marks,143
Saanvi',M,12,95,63 marks,38,196
KABIR,M,1,62,56,37,155
Shaurya,1,Grade 8,70,41,23,134
"""Kabir""",0,11,31 marks,15,29,75
Arjun,Female,6,18,35 marks,19,72
Navya',Male,7,61,45 marks,71 marks,177
VIHAAN,Male,1,36 marks,24 marks,1 marks,61
Anika,male,8,66 marks,39,88 marks,193
"""Shaurya""",female,9,62,43,96 marks,201
Aarav',f,10,86,30 marks,2,118
ISHA,M,Grade 1,34,75,25,134
Rohan,Male,1,30 marks,13,19,62
Aryan,M,7,27,12,6,45
SHAURYA,Male,Grade 3,96 marks,100,57,253
Anika,F,Grade 5,33,63,17 marks,113
ROHAN,M,4,8,1 marks,18,27
"""Vihaan""",Male,Grade 8,42,29,60,131
"""Aryan""",m,Grade 7,91 marks,57 marks,41,189
Zara',1,5,44 marks,14,10,68
Vihaan,1,1,30,82,24,136
"""Anika""",F,11,4,81 marks,64,149
KABIR,male,9,39 marks,78 marks,20 marks,137
ROHAN,F,9,26,79,94,199
KRISHNA,m,Grade 2,91,41,61,193
Aryan',Male,8,12,98,46,156
Aarav,female,6,16,6,75 marks,97
ROHAN,M,4,96,19,57,172
Krishna,f,Grade 3,77 marks,31 marks,11,119
Saanvi',male,5,85 marks,83,18,186
"""Zara""",F,9,52,7,76,135
Ishaan,Male,Grade 1,34,11 marks,12 marks,57
Rohan',F,Grade 10,7 marks,52,0,59
"""Aditi""",M,Grade 3,62 marks,35,32 marks,129
Aditi,0,11,99 marks,99 marks,62,260
DIYA,0,9,22,43,67,132
"""Rohan""",F,Grade 5,84 marks,14,59,157
Zara,female,1,86 marks,88 marks,40 marks,214
Kabir',female,2,6 marks,3,33 marks,42
Aarav,1,4,29,45,98 marks,172
ANANYA,1,Grade 6,47 marks,57,24,128
Myra,M,12,26,13,42,81
Navya',0,Grade 7,36,44,16,96
SAANVI,Female,Grade 4,82 marks,35,21 marks,138
Myra,M,3,11 marks,27,33,71
Reyansh',Male,Grade 2,35 marks,30,95,160
Zara,m,Grade 11,90 marks,51,49,190
VIHAAN,M,1,51 marks,12,39,102
ISHAAN,Male,Grade 8,86 marks,51,69,206
"""Rohan""",Male,7,5 marks,48 marks,76,129
Ananya',m,Grade 7,0,18 marks,11 marks,29
Ishaan,Female,4,52,79 marks,57,188
Vihaan',F,7,23 marks,12 marks,10,45
"""Ishaan""",M,2,27,54 marks,62,143
"""Kabir""",0,7,87,12,14,113
ZARA,F,5,54,37,16 marks,107
ISHA,m,Grade 6,47 marks,44,71 marks,162
KABIR,1,4,75,29,63 marks,167
"""Arjun""",M,Grade 3,13,1,91 marks,105
Aarav',Male,Grade 11,77,65,33,175
Saanvi',f,Grade 7,48,88 marks,27,163
ZARA,f,6,35 marks,44,21,100
Krishna',F,1,40,74,49 marks,163
Aarav',F,10,58,77,91,226
Diya,M,Grade 4,19 marks,41 marks,54,114
"""Isha""",F,7,59,68,4,131
Myra,Male,7,82,54,75 marks,211
Ananya',m,Grade 4,2,10,35,47
Diya,Female,12,9,4,100 marks,113
ISHAAN,f,12,28 marks,31,22,81
Advika',M,Grade 2,42 marks,60,63,165
REYANSH,M,Grade 1,86,71 marks,64,221
"""Diya""",male,10,33,67 marks,57,157
"""Reyansh""",M,3,43,23,20,86
"""Vihaan""",M,4,12,42 marks,100,154
Navya,Female,5,83,66,56,205
DIYA,Female,11,42,22,34,98
"""Aditi""",M,2,22,72,93,187
Vihaan,Male,5,33,89,70 marks,192
"""Ananya""",female,4,14,89,23,126
REYANSH,female,Grade 8,85,74,46,205
Ishaan',M,8,86,50,41 marks,177
"""Diya""",0,5,32,69,20,121
"""Aryan""",F,Grade 6,34,58 marks,29,121
NAVYA,Male,Grade 6,40 marks,83 marks,17,140
Anika,F,1,13 marks,37,83,133
Krishna',M,8,35 marks,96,40,171
Advika,Female,6,20,25,78,123
Zara,M,7,17,89,8,114
Arjun,Female,1,29,27,90,146
Anika',0,Grade 9,52,84,32 marks,168
ZARA,Male,Grade 6,34,43 marks,14,91
Aditi',1,2,69 marks,91,64 marks,224
Ananya,Male,1,14,72,97,183
Anika',M,2,48,16,73,137
Ishaan',M,8,86,43 marks,45,174
Saanvi',f,11,36 marks,82,27,145
"""Navya""",M,5,59 marks,94,64,217
Aryan',Female,9,86,95,49 marks,230
Navya',Female,5,22,66 marks,41,129
Ishaan',m,10,27 marks,79 marks,4,110
Diya',0,2,46 marks,32,13 marks,91
Navya,0,Grade 2,1 marks,24,67,92
Aryan,M,Grade 3,94 marks,39,12,145
SAANVI,M,Grade 4,82,68 marks,69,219
Aryan,Male,10,20,28 marks,30 marks,78
Aditi,F,5,75,52,52 marks,179
Navya,f,11,61,5 marks,10,76
REYANSH,Female,9,4 marks,87 marks,76,167
"""Myra""",Female,Grade 3,27,79,31,137
Aarav,Female,8,83 marks,20,47,150
ARJUN,male,Grade 8,30,41,28 marks,99
Krishna',f,9,81,98,67,246
Diya,m,10,50,62,45,157
"""Reyansh""",0,9,66 marks,16 marks,64 marks,146
Advika,Female,6,56,48 marks,79 marks,183
Ishaan,F,Grade 8,44,77,17,138
KABIR,m,6,64 marks,77,78,219
Navya,1,Grade 5,39 marks,1 marks,22,62
"""Kabir""",F,4,74,19 marks,56,149
Anika',M,8,21,32,13,66
"""Isha""",M,10,59 marks,71 marks,27,157
AARAV,m,11,30,47,75,152
Myra,M,4,63 marks,60,0,123
Rohan,M,11,1 marks,90 marks,88,179
"""Isha""",f,5,10,95 marks,5 marks,110
"""Vihaan""",male,7,53 marks,74,20 marks,147
ADITI,0,9,76,73,83 marks,232
SAANVI,M,2,10,51,80 marks,141
Anika',M,5,54,45 marks,71,170
ADVIKA,female,4,8,87,84,179
SHAURYA,F,11,39 marks,26 marks,79,144
Aarav,M,7,29,59,17,105
Rohan,1,6,67 marks,36,76 marks,179
SAANVI,1,Grade 3,42,80 marks,63 marks,185
Isha',male,Grade 5,26,18 marks,66,110
VIHAAN,0,1,73 marks,92 marks,57 marks,222
Saanvi,f,Grade 3,10,65 marks,10,85
"""Navya""",Male,Grade 4,91,90,20 marks,201
Aarav,M,4,93 marks,75,48 marks,216
KABIR,M,6,82,20 marks,25,127
"""Aditi""",F,Grade 7,86 marks,65,45,196
Ananya',female,2,21,21,17,59
Aditi',m,10,37,70 marks,0,107
Saanvi,0,Grade 11,94 marks,98,1 marks,193
"""Anika""",male,5,46 marks,48,39 marks,133
ADVIKA,Male,Grade 8,2 marks,77,61 marks,140
"""Kabir""",M,9,94 marks,53 marks,62,209
Aarav,0,11,71,67 marks,98 marks,236
REYANSH,F,11,19,93,38,150
Arjun',M,Grade 1,72,50 marks,55 marks,177
ANANYA,f,Grade 10,17,77,50,144
"""Anika""",F,9,93,47 marks,13,153
"""Kabir""",male,12,84 marks,100,78,262
Saanvi,1,Grade 8,88,6 marks,43,137
"""Advika""",1,Grade 12,89 marks,94,30,213
Saanvi,F,10,83,38,57,178
"""Saanvi""",m,12,38,93,34,165
"""Saanvi""",Female,2,28,54,30,112
Vihaan',F,8,66,86,83,235
Navya',0,12,38,6,15 marks,59
Zara,f,12,85,59,3 marks,147
Aarav',F,Grade 9,35 marks,66,96,197
Diya',0,5,39,85,5 marks,129
Reyansh,1,Grade 7,53,70,27 marks,150
KABIR,male,Grade 11,53,65,48 marks,166
"""Advika""",M,4,25,15,19,59
SHAURYA,F,8,61 marks,73,33 marks,167
Kabir,M,9,90 marks,94,4,188
Shaurya',Male,12,24,6,71 marks,101
Advika',Male,Grade 7,41 marks,78,12,131
ISHAAN,male,Grade 1,96,41 marks,54,191
"""Reyansh""",f,10,56,63,53,172
Zara',female,11,55,50,42,147
Kabir,male,2,52,86,16 marks,154
Saanvi',Male,9,43,54 marks,60,157
"""Navya""",male,Grade 2,76,68,80,224
DIYA,F,Grade 9,55,45,53 marks,153
"""Kabir""",Male,Grade 6,27,32 marks,26,85
Anika',male,2,93 marks,94,70 marks,257
Saanvi',male,Grade 1,41,3 marks,4,48
Kabir,F,11,74,14,0 marks,88
Krishna',M,1,58 marks,82 marks,77,217
Arjun',m,8,49,0,12,61
Isha',F,Grade 12,4,62 marks,86,152
Anika,F,9,86,4 marks,95,185
"""Saanvi""",m,12,79,48,84,211
"""Navya""",f,Grade 4,80,72,35,187
Arjun',female,Grade 2,41 marks,74,28,143
Krishna,F,Grade 5,16,64,79,159
Ananya',male,2,67,21,67,155
Navya',female,Grade 3,96,94 marks,77 marks,267
KRISHNA,male,Grade 7,29,80,36,145
Krishna,0,Grade 6,56,81,43 marks,180
ADVIKA,m,7,1 marks,72,41 marks,114
"""Isha""",M,7,19 marks,88,96 marks,203
"""Kabir""",Female,Grade 6,81 marks,66,17 marks,164
"""Aryan""",F,2,26,64,19,109
Kabir,0,Grade 3,100 marks,27,55 marks,182
Ananya,F,12,70 marks,99 marks,71,240
"""Kabir""",F,12,23,64 marks,64,151
ADVIKA,m,9,53 marks,47,4 marks,104
"""Aditi""",F,2,45,89,16,150
MYRA,F,2,70,49,3,122
SHAURYA,male,Grade 9,31 marks,72,9,112
Myra,Female,3,85,56,13 marks,154
REYANSH,female,1,75,96 marks,17,188
ANIKA,male,4,76 marks,92,70,238
"""Aditi""",female,7,22,11 marks,99,132
"""Rohan""",m,11,92,49,82 marks,223
NAVYA,male,Grade 7,15,31 marks,77,123
"""Isha""",1,7,36 marks,60 marks,78,174
Arjun',1,7,3,80 marks,8,91
Reyansh',m,Grade 4,46 marks,0,28 marks,74
Kabir,1,9,60,15 marks,5,80
"""Arjun""",f,2,72 marks,40,83,195
Arjun',Male,11,47 marks,61 marks,8 marks,116
Reyansh',M,Grade 4,79,47,36,162
ANANYA,1,6,33,33,3,69
SHAURYA,1,6,18 marks,87,67,172
Arjun',female,9,54,36 marks,76,166
"""Anika""",Male,1,52,34 marks,52 marks,138
KABIR,m,1,22 marks,26,47,95
NAVYA,F,6,16 marks,31,88 marks,135
AARAV,F,10,31,12,38,81
Isha',female,2,69,18,47 marks,134
Diya,m,Grade 4,92 marks,14,16,122
"""Aarav""",female,Grade 1,65,12,8,85
"""Vihaan""",1,Grade 8,63,73,71,207
Rohan',F,9,41,68,87,196
ARYAN,male,12,4,24,55,83
Isha',0,8,5,47 marks,9,61
ADVIKA,m,11,82,29 marks,50 marks,161
"""Krishna""",1,12,56,49,56,161
Krishna,0,12,3 marks,23,94 marks,120
SHAURYA,m,Grade 1,21,8 marks,84,113
Diya,F,3,38,12,100,150
Aryan,M,7,24 marks,54,5 marks,83
Aarav',M,Grade 1,7 marks,30,74 marks,111
Rohan',Female,11,67 marks,54,89,210
"""Anika""",male,Grade 1,40,82,2 marks,124
ANIKA,F,12,98,28 marks,96,222
ZARA,M,Grade 1,56 marks,82,27,165
Shaurya',M,Grade 2,85,17 marks,41,143
DIYA,F,12,50,62,62 marks,174
Navya,F,3,41 marks,14 marks,92 marks,147
"""Aditi""",Female,Grade 7,17,61,59 marks,137
Ishaan,female,Grade 8,3 marks,55,68 marks,126
Navya',F,7,13,60,18,91
VIHAAN,1,Grade 9,44,63,47 marks,154
KRISHNA,Female,5,51,55 marks,47,153
Krishna',female,Grade 11,16,61 marks,88,165
"""Krishna""",M,Grade 11,7,33,84 marks,124
"""Anika""",male,Grade 3,23 marks,6,52 marks,81
"""Saanvi""",female,3,25,34 marks,7,66
Shaurya,f,5,19 marks,8,70,97
Anika',M,Grade 5,51 marks,8,43,102
ANIKA,1,12,20 marks,78,81,179
Anika',m,8,16 marks,67,22 marks,105
Diya',Male,1,50 marks,80 marks,45,175
Anika',F,10,47,99,16,162
Reyansh',Male,Grade 8,7,52,17 marks,76
VIHAAN,female,8,27,92 marks,70,189
MYRA,Female,12,24 marks,22 marks,75,121
"""Reyansh""",f,1,88,72 marks,78,238
KRISHNA,F,Grade 5,19,11,69 marks,99
Krishna',male,5,0 marks,75,19 marks,94
"""Rohan""",male,Grade 4,100,19,83,202
ANIKA,Female,4,55,98 marks,77,230
Rohan',M,Grade 11,72 marks,41 marks,8 marks,121
ARJUN,Male,4,23,10,24,57
Arjun,0,10,32 marks,34,22,88
ISHA,female,Grade 2,54,14 marks,89,157
"""Advika""",M,Grade 11,96,43,32 marks,171
NAVYA,Female,8,63,56 marks,63,182
ANANYA,Male,1,71,83,73 marks,227
"""Reyansh""",0,3,57,63,53,173
ISHA,f,4,22,89,13,124
Advika',m,3,12 marks,67,52 marks,131
Vihaan',Female,Grade 1,13,29 marks,80,122
Diya,M,Grade 8,14,31,12 marks,57
Myra,f,10,22 marks,80 marks,83,185
SHAURYA,Male,7,45 marks,70,35,150
Shaurya,Female,1,49 marks,68,68 marks,185
Reyansh',F,8,86,15 marks,92 marks,193
Ananya,F,3,18,37,74 marks,129
"""Reyansh""",1,Grade 7,23 marks,38,95,156
"""Shaurya""",male,5,61 marks,52,98,211
Arjun',m,Grade 1,0 marks,3,10,13
SAANVI,M,6,17,44,55,116
KRISHNA,M,1,40 marks,98,36 marks,174
"""Rohan""",f,Grade 9,89 marks,69 marks,51 marks,209
Arjun',1,10,50,67 marks,49,166
ISHAAN,m,6,90 marks,13,66,169
Ishaan,M,1,8,16,8,32
Rohan',F,1,5,95,20 marks,120
Arjun',female,Grade 3,84,37 marks,25,146
"""Myra""",1,Grade 1,38 marks,50 marks,98,186
"""Advika""",m,Grade 6,23,28,59,110
Diya',M,5,85,82,14,181
Ananya',M,7,93,63,85 marks,241
Rohan,Female,4,40 marks,9 marks,3 marks,52
"""Advika""",M,11,77 marks,70,73,220
Saanvi,m,8,93,11,53 marks,157
Aryan',Male,12,88,67 marks,13 marks,168
Saanvi',F,7,95,74,5,174
Ananya',1,10,91,39,35,165
Arjun',F,8,29,28,93 marks,150
"""Shaurya""",0,Grade 12,10,84,67 marks,161
KRISHNA,0,12,11,88 marks,91,190
Rohan,m,Grade 6,90,100,12 marks,202
"""Myra""",f,9,28,75 marks,20,123
Kabir',Male,6,78 marks,19 marks,93,190
Vihaan',f,12,61 marks,42 marks,5,108
Ananya,f,10,62,65 marks,83,210
"""Isha""",f,Grade 7,84,21,79,184
Zara',m,9,39 marks,51,77 marks,167
KRISHNA,F,4,78,32 marks,0,110
ADITI,male,9,83,25,7 marks,115
SAANVI,F,11,78 marks,74,67,219
Vihaan,M,9,14,16,79,109
